ticker,sentiment,headline_count
KDP,0.4845400000000001,10
FANG,0.4208200000000001,10
XEL,0.35009000000000007,10
AEP,0.34274,10
CEG,0.32006,10
SHOP,0.31816,10
DXCM,0.30995,10
ADI,0.29085,10
ZS,0.28254999999999997,10
MCHP,0.27677999999999997,10
WDC,0.27357,10
FER,0.269,10
ADP,0.25190999999999997,10
EXC,0.25125,10
ROST,0.24737,10
CTAS,0.24320999999999998,10
ORLY,0.23735,10
MDLZ,0.23309000000000002,10
BKR,0.22599000000000005,10
INTC,0.22291,10
PDD,0.21713,10
PANW,0.21066000000000001,10
NXPI,0.20129999999999998,10
AAPL,0.20117000000000002,10
LIN,0.19777000000000003,10
ADSK,0.19649,10
CCEP,0.19592,10
CRWD,0.19558999999999999,10
CMCSA,0.18906,10
WDAY,0.18736,10
MPWR,0.18066,10
AMZN,0.17086,10
ABNB,0.17012,10
WBD,0.16602999999999996,10
INTU,0.16596,10
CPRT,0.16509999999999997,10
TRI,0.16335,10
ALNY,0.16319,10
PCAR,0.16081,10
EA,0.16072999999999998,10
ROP,0.15907999999999997,10
PAYX,0.15879,10
ISRG,0.15719,10
MAR,0.15642,10
GILD,0.15549000000000002,10
ODFL,0.14853999999999998,10
KLAC,0.14573,10
META,0.13207999999999998,10
CSX,0.12928,10
SBUX,0.12827000000000002,10
DDOG,0.12625,10
AMAT,0.12573,10
APP,0.12437000000000002,10
SNDK,0.12197999999999998,10
CSCO,0.12186999999999999,10
MSFT,0.10695999999999999,10
VRSK,0.09883,10
TXN,0.09767999999999999,10
PLTR,0.09285999999999997,10
NFLX,0.09018000000000001,10
FTNT,0.08793,10
WMT,0.08222000000000002,10
LRCX,0.08053999999999999,10
HON,0.07596000000000001,10
FAST,0.07169,10
PYPL,0.07161999999999999,10
MNST,0.07039999999999999,10
SNPS,0.06587,10
STX,0.06295,10
TMUS,0.062130000000000005,10
GOOG,0.061549999999999994,10
CDNS,0.058030000000000005,10
IDXX,0.0464,10
TTWO,0.040209999999999996,10
GOOGL,0.036879999999999996,10
BKNG,0.023289999999999998,10
VRTX,0.020569999999999998,10
MSTR,0.019329999999999996,10
MELI,0.00912,10
CTSH,0.005239999999999995,10
AXON,0.0005599999999999994,10
AMD,-0.001949999999999999,10
TSLA,-0.004910000000000003,10
INSM,-0.006410000000000013,10
AMGN,-0.008499999999999997,10
AVGO,-0.012560000000000016,10
CSGP,-0.027579999999999993,10
QCOM,-0.030930000000000003,10
NVDA,-0.03818,10
DASH,-0.04007999999999999,10
MU,-0.046650000000000004,10
ASML,-0.054110000000000005,10
PEP,-0.057950000000000015,10
COST,-0.05904,10
REGN,-0.06561,10
ADBE,-0.06613,10
ARM,-0.07857,10
KHC,-0.09194,10
GEHC,-0.11009,10
CHTR,-0.13514,10
MRVL,-0.15582000000000001,10
